### Footprint positions - created on Mon Apr  8 21:58:17 2024 ###
### Printed by KiCad version 7.0.9
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val                      Package                                                       PosX       PosY       Rot  Side
C1        4u7                      C_0603_1608Metric                                         117.7500    51.0000  -90.0000  top
C2        4u7                      C_0603_1608Metric                                         104.0000     6.2250  -90.0000  top
C3        4u7                      C_0603_1608Metric                                          20.5000    30.5000    0.0000  top
C4        100n                     C_0402_1005Metric                                          15.2000    31.4800  -90.0000  top
C5        100n                     C_0402_1005Metric                                          21.7500    38.0000    0.0000  top
C6        100n                     C_0402_1005Metric                                          19.9550    32.0000    0.0000  top
C7        100n                     C_0402_1005Metric                                           9.9800    34.9800  -90.0000  top
C8        100n                     C_0402_1005Metric                                          16.0050    41.7500    0.0000  top
C9        4u7                      C_0603_1608Metric                                           8.4800    35.0000  -90.0000  top
C10       100n                     C_0402_1005Metric                                          20.6000    33.5000  -90.0000  top
C11       100n                     C_0402_1005Metric                                          18.4800    17.6000    0.0000  top
C12       100n                     C_0402_1005Metric                                          10.9800    35.0000  -90.0000  top
C13       100n                     C_0402_1005Metric                                          13.4800    42.0000    0.0000  top
C14       0p8                      C_0402_1005Metric                                          15.2075    43.6875    0.0000  top
C15       0p3                      C_0402_1005Metric                                          15.2275    46.6875    0.0000  top
C16       100n                     C_0402_1005Metric                                          30.1000     7.5000    0.0000  top
C17       10u                      C_0805_2012Metric                                         137.5000    41.5500   90.0000  top
C18       10u                      C_0805_2012Metric                                         137.0000    11.0000   90.0000  top
C19       22u                      C_0805_2012Metric                                         119.7500    50.7500  -90.0000  top
C20       22u                      C_0805_2012Metric                                         120.0000    19.0000  -90.0000  top
C21       4u7                      C_0603_1608Metric                                         116.0000    13.0000  180.0000  top
C22       4u7                      C_0603_1608Metric                                         116.2250     7.0000  180.0000  top
C23       100n                     C_0402_1005Metric                                          51.7500    24.9600    0.0000  top
C24       10u                      C_0603_1608Metric                                          55.4750    22.4600  180.0000  top
C25       100n                     C_0402_1005Metric                                          51.5000    16.4800    0.0000  top
C26       10u                      C_0603_1608Metric                                          55.4750    18.4600  180.0000  top
C27       100n                     C_0402_1005Metric                                          70.2700    16.4600  180.0000  top
C28       10u                      C_0603_1608Metric                                          66.7000    18.4600    0.0000  top
C29       100n                     C_0402_1005Metric                                          70.0000    24.9600  180.0000  top
C30       10u                      C_0603_1608Metric                                          66.4750    22.4600    0.0000  top
C31       100n                     C_0402_1005Metric                                          86.7500    24.5000    0.0000  top
C32       10u                      C_0603_1608Metric                                          90.4900    22.5000  180.0000  top
C33       100n                     C_0402_1005Metric                                          86.7700    16.5000    0.0000  top
C34       10u                      C_0603_1608Metric                                          90.4900    18.5000  180.0000  top
C35       100n                     C_0402_1005Metric                                         105.2500    16.5000  180.0000  top
C36       10u                      C_0603_1608Metric                                         101.4900    18.5000    0.0000  top
C37       100n                     C_0402_1005Metric                                         105.2700    24.5000  180.0000  top
C38       10u                      C_0603_1608Metric                                         101.4900    22.5000    0.0000  top
C39       100n                     C_0402_1005Metric                                          35.2500    16.0000  180.0000  top
C40       10u                      C_0603_1608Metric                                          32.0000    18.5000    0.0000  top
C41       100n                     C_0402_1005Metric                                          35.7700    25.0000  180.0000  top
C42       10u                      C_0603_1608Metric                                          32.0000    22.5000    0.0000  top
D1        LED                      LED_0402_1005Metric                                         2.7350    43.0000  180.0000  top
D2        BPW34-SMD                Osram_BPW34S-SMD                                           67.5000    47.0000   90.0000  top
D3        BPW34-SMD                Osram_BPW34S-SMD                                           77.5000    47.0000   90.0000  top
D4        BPW34-SMD                Osram_BPW34S-SMD                                           62.5000    47.0000   90.0000  top
D5        BPW34-SMD                Osram_BPW34S-SMD                                           82.5000    47.0000   90.0000  top
D6        BPW34-SMD                Osram_BPW34S-SMD                                           57.5000    47.0000   90.0000  top
D7        BPW34-SMD                Osram_BPW34S-SMD                                           87.5000    47.0000   90.0000  top
D8        BPW34-SMD                Osram_BPW34S-SMD                                           52.5000    47.0000   90.0000  top
D9        BPW34-SMD                Osram_BPW34S-SMD                                           92.5000    47.0000   90.0000  top
D10       BPW34-SMD                Osram_BPW34S-SMD                                           47.5000    47.0000   90.0000  top
D11       BPW34-SMD                Osram_BPW34S-SMD                                           97.5000    47.0000   90.0000  top
D12       BPW34-SMD                Osram_BPW34S-SMD                                           42.5000    47.0000   90.0000  top
D13       BPW34-SMD                Osram_BPW34S-SMD                                          102.5000    47.0000   90.0000  top
D14       BPW34-SMD                Osram_BPW34S-SMD                                           37.5000    47.0000   90.0000  top
D15       BPW34-SMD                Osram_BPW34S-SMD                                          107.5000    47.0000   90.0000  top
D16       BPW34-SMD                Osram_BPW34S-SMD                                           32.5000    47.0000   90.0000  top
D17       BPW34-SMD                Osram_BPW34S-SMD                                          112.5000    47.0000   90.0000  top
D18       BPW34-SMD                Osram_BPW34S-SMD                                           67.5000    37.0000  -90.0000  top
D19       BPW34-SMD                Osram_BPW34S-SMD                                           62.5000    37.0000  -90.0000  top
D20       BPW34-SMD                Osram_BPW34S-SMD                                           57.5000    37.0000  -90.0000  top
D21       BPW34-SMD                Osram_BPW34S-SMD                                           47.5000    37.0000  -90.0000  top
D22       BPW34-SMD                Osram_BPW34S-SMD                                           52.5000    37.0000  -90.0000  top
D23       BPW34-SMD                Osram_BPW34S-SMD                                           42.5000    37.0000  -90.0000  top
D24       BPW34-SMD                Osram_BPW34S-SMD                                           37.5000    37.0000  -90.0000  top
D25       BPW34-SMD                Osram_BPW34S-SMD                                           32.5000    37.0000  -90.0000  top
D26       BPW34-SMD                Osram_BPW34S-SMD                                           72.5000    47.0000   90.0000  top
FLT1      DLF162500LT-5028A1       DLF162500LT-5028A1                                         14.7500    48.4375   90.0000  top
FM1       Fiducial                 Fiducial_1mm_Mask2mm                                      132.5000     3.2500    0.0000  top
FM2       Fiducial                 Fiducial_1mm_Mask2mm                                       24.2500    52.0000    0.0000  top
FM3       Fiducial                 Fiducial_1mm_Mask2mm                                       54.2500     4.2500    0.0000  top
J1        Conn_01x04               JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical                       2.9900    15.1100   90.0000  top
J2        Conn_01x04               JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical                       3.2500    31.5600   90.0000  top
J4        Conn_Coaxial             U.FL_Hirose_U.FL-R-SMT-1_Vertical                          14.7275    51.4875   90.0000  top
J5        Conn_01x02               JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                     140.1500    35.2700  -90.0000  top
J6        USB_C_Receptacle_USB2.0  USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal    15.5200     3.3200    0.0000  top
J7        Conn_01x02               JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                     140.1500    25.1100  -90.0000  top
L1        2n7                      L_0402_1005Metric                                          14.7275    45.2025   90.0000  top
R1        20k                      R_0402_1005Metric                                         112.0000     4.5100  -90.0000  top
R2        220R                     R_0402_1005Metric                                           4.7500    43.0000    0.0000  top
R3        220R                     R_0402_1005Metric                                           8.2500    29.0000    0.0000  top
